transit_timestamp,Station-447,Station-463
02/01/22 0:00:00,143,20
02/01/22 1:00:00,55,6
02/01/22 2:00:00,39,11
02/01/22 3:00:00,50,10
02/01/22 4:00:00,219,19
02/01/22 5:00:00,928,74
02/01/22 6:00:00,1598,133
02/01/22 7:00:00,2416,160
02/01/22 8:00:00,2384,268
02/01/22 9:00:00,1704,100
02/01/22 10:00:00,1259,55
02/01/22 11:00:00,939,34
02/01/22 12:00:00,1037,53
02/01/22 13:00:00,1056,45
02/01/22 14:00:00,1119,107
02/01/22 15:00:00,1412,414
02/01/22 16:00:00,1438,456
02/01/22 17:00:00,1542,373
02/01/22 18:00:00,1172,162
02/01/22 19:00:00,776,65
02/01/22 20:00:00,679,43
02/01/22 21:00:00,627,32
02/01/22 22:00:00,493,22
02/01/22 23:00:00,221,58
02/02/22 0:00:00,106,17
02/02/22 1:00:00,42,7
02/02/22 2:00:00,45,8
02/02/22 3:00:00,50,6
02/02/22 4:00:00,255,17
02/02/22 5:00:00,1006,75
02/02/22 6:00:00,2176,149
02/02/22 7:00:00,3290,176
02/02/22 8:00:00,3149,291
02/02/22 9:00:00,1975,115
02/02/22 10:00:00,1331,54
02/02/22 11:00:00,1003,48
02/02/22 12:00:00,1154,48
02/02/22 13:00:00,1169,67
02/02/22 14:00:00,1545,105
02/02/22 15:00:00,1749,415
02/02/22 16:00:00,1695,466
02/02/22 17:00:00,1749,397
02/02/22 18:00:00,1304,181
02/02/22 19:00:00,865,66
02/02/22 20:00:00,691,48
02/02/22 21:00:00,639,27
02/02/22 22:00:00,479,21
02/02/22 23:00:00,260,48
02/03/22 0:00:00,119,15
02/03/22 1:00:00,33,9
02/03/22 2:00:00,43,10
02/03/22 3:00:00,53,3
02/03/22 4:00:00,233,18
02/03/22 5:00:00,978,65
02/03/22 6:00:00,2161,153
02/03/22 7:00:00,3615,177
02/03/22 8:00:00,3251,308
02/03/22 9:00:00,1999,114
02/03/22 10:00:00,1325,42
02/03/22 11:00:00,945,44
02/03/22 12:00:00,1079,49
02/03/22 13:00:00,1205,62
02/03/22 14:00:00,1593,106
02/03/22 15:00:00,1622,401
02/03/22 16:00:00,1636,455
02/03/22 17:00:00,1762,368
02/03/22 18:00:00,1263,179
02/03/22 19:00:00,830,84
02/03/22 20:00:00,754,53
02/03/22 21:00:00,564,28
02/03/22 22:00:00,552,15
02/03/22 23:00:00,226,50
02/04/22 0:00:00,107,14
02/04/22 1:00:00,53,5
02/04/22 2:00:00,43,10
02/04/22 3:00:00,60,10
02/04/22 4:00:00,230,17
02/04/22 5:00:00,919,63
02/04/22 6:00:00,2156,115
02/04/22 7:00:00,3365,145
02/04/22 8:00:00,2894,191
02/04/22 9:00:00,1866,79
02/04/22 10:00:00,1266,36
02/04/22 11:00:00,904,38
02/04/22 12:00:00,930,56
02/04/22 13:00:00,1105,78
02/04/22 14:00:00,1497,127
02/04/22 15:00:00,1661,376
02/04/22 16:00:00,1489,362
02/04/22 17:00:00,1600,302
02/04/22 18:00:00,1215,145
02/04/22 19:00:00,863,54
02/04/22 20:00:00,665,46
02/04/22 21:00:00,510,24
02/04/22 22:00:00,620,17
02/04/22 23:00:00,308,48
02/05/22 0:00:00,176,11
02/05/22 1:00:00,85,8
02/05/22 2:00:00,62,6
02/05/22 3:00:00,45,4
02/05/22 4:00:00,96,2
02/05/22 5:00:00,270,14
02/05/22 6:00:00,645,26
02/05/22 7:00:00,1054,32
02/05/22 8:00:00,1234,29
02/05/22 9:00:00,1204,26
02/05/22 10:00:00,1138,31
02/05/22 11:00:00,1013,28
02/05/22 12:00:00,1309,23
02/05/22 13:00:00,1293,44
02/05/22 14:00:00,1481,23
02/05/22 15:00:00,1297,40
02/05/22 16:00:00,1350,43
02/05/22 17:00:00,1337,49
02/05/22 18:00:00,1024,24
02/05/22 19:00:00,840,21
02/05/22 20:00:00,682,7
02/05/22 21:00:00,564,10
02/05/22 22:00:00,533,11
02/05/22 23:00:00,346,9
02/06/22 0:00:00,150,1
02/06/22 1:00:00,85,1
02/06/22 2:00:00,59,
02/06/22 3:00:00,29,
02/06/22 4:00:00,67,1
02/06/22 5:00:00,169,3
02/06/22 6:00:00,352,10
02/06/22 7:00:00,567,11
02/06/22 8:00:00,751,12
02/06/22 9:00:00,904,15
02/06/22 10:00:00,840,25
02/06/22 11:00:00,736,15
02/06/22 12:00:00,864,21
02/06/22 13:00:00,936,16
02/06/22 14:00:00,1042,19
02/06/22 15:00:00,970,24
02/06/22 16:00:00,949,24
02/06/22 17:00:00,984,17
02/06/22 18:00:00,825,14
02/06/22 19:00:00,684,16
02/06/22 20:00:00,543,14
02/06/22 21:00:00,544,5
02/06/22 22:00:00,424,10
02/06/22 23:00:00,210,7
02/07/22 0:00:00,117,4
02/07/22 1:00:00,44,3
02/07/22 2:00:00,35,5
02/07/22 3:00:00,53,4
02/07/22 4:00:00,243,11
02/07/22 5:00:00,992,77
02/07/22 6:00:00,2231,123
02/07/22 7:00:00,3601,124
02/07/22 8:00:00,3303,349
02/07/22 9:00:00,1991,86
02/07/22 10:00:00,1320,45
02/07/22 11:00:00,1060,51
02/07/22 12:00:00,1060,43
02/07/22 13:00:00,1211,61
02/07/22 14:00:00,1570,99
02/07/22 15:00:00,1718,385
02/07/22 16:00:00,1626,499
02/07/22 17:00:00,1802,378
02/07/22 18:00:00,1399,158
02/07/22 19:00:00,828,62
02/07/22 20:00:00,613,45
02/07/22 21:00:00,559,28
02/07/22 22:00:00,441,24
02/07/22 23:00:00,209,58
