 Arrived: 02/1/22 0:00:00, 446, Morris Park (5), Bronx, 1
 Arrived: 02/1/22 0:00:00, 446, Morris Park (5), Bronx, 1
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 23
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 54
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 7
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 48
 Arrived: 02/1/22 0:00:00, 447, Flushing-Main St (7), Queens, 10
 Arrived: 02/1/22 0:00:00, 448, Mets-Willets Point (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 448, Mets-Willets Point (7), Queens, 4
 Arrived: 02/1/22 0:00:00, 448, Mets-Willets Point (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 448, Mets-Willets Point (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 449, 111 St (7), Queens, 7
 Arrived: 02/1/22 0:00:00, 449, 111 St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 449, 111 St (7), Queens, 4
 Arrived: 02/1/22 0:00:00, 45, Beverley Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 0:00:00, 45, Beverley Rd (Q), Brooklyn, 2
 Arrived: 02/1/22 0:00:00, 450, 103 St-Corona Plaza (7), Queens, 13
 Arrived: 02/1/22 0:00:00, 450, 103 St-Corona Plaza (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 450, 103 St-Corona Plaza (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 450, 103 St-Corona Plaza (7), Queens, 10
 Arrived: 02/1/22 0:00:00, 451, Junction Blvd (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 451, Junction Blvd (7), Queens, 6
 Arrived: 02/1/22 0:00:00, 451, Junction Blvd (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 451, Junction Blvd (7), Queens, 4
 Arrived: 02/1/22 0:00:00, 451, Junction Blvd (7), Queens, 10
 Arrived: 02/1/22 0:00:00, 452, 90 St-Elmhurst Av (7), Queens, 11
 Arrived: 02/1/22 0:00:00, 452, 90 St-Elmhurst Av (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 452, 90 St-Elmhurst Av (7), Queens, 9
 Arrived: 02/1/22 0:00:00, 453, 82 St-Jackson Hts (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 453, 82 St-Jackson Hts (7), Queens, 9
 Arrived: 02/1/22 0:00:00, 453, 82 St-Jackson Hts (7), Queens, 6
 Arrived: 02/1/22 0:00:00, 453, 82 St-Jackson Hts (7), Queens, 10
 Arrived: 02/1/22 0:00:00, 455, 69 St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 455, 69 St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 455, 69 St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 456, 61 St-Woodside (7), Queens, 4
 Arrived: 02/1/22 0:00:00, 456, 61 St-Woodside (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 456, 61 St-Woodside (7), Queens, 8
 Arrived: 02/1/22 0:00:00, 456, 61 St-Woodside (7), Queens, 5
 Arrived: 02/1/22 0:00:00, 457, 52 St (7), Queens, 9
 Arrived: 02/1/22 0:00:00, 457, 52 St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 457, 52 St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 457, 52 St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 10
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 458, 46 St-Bliss St (7), Queens, 15
 Arrived: 02/1/22 0:00:00, 459, 40 St-Lowery St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 459, 40 St-Lowery St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 459, 40 St-Lowery St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 46, Cortelyou Rd (Q), Brooklyn, 1
 Arrived: 02/1/22 0:00:00, 459, 40 St-Lowery St (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 46, Cortelyou Rd (Q), Brooklyn, 3
 Arrived: 02/1/22 0:00:00, 46, Cortelyou Rd (Q), Brooklyn, 2
 Arrived: 02/1/22 0:00:00, 46, Cortelyou Rd (Q), Brooklyn, 1
 Arrived: 02/1/22 0:00:00, 460, 33 St-Rawson St (7), Queens, 4
 Arrived: 02/1/22 0:00:00, 460, 33 St-Rawson St (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 460, 33 St-Rawson St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 460, 33 St-Rawson St (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 21
 Arrived: 02/1/22 0:00:00, 50, Avenue M (Q), Brooklyn, 2
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 1
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 2
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 5
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 10
 Arrived: 02/1/22 0:00:00, 461, Queensboro Plaza (7,N,W), Queens, 8
 Arrived: 02/1/22 0:00:00, 463, Hunters Point Av (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 463, Hunters Point Av (7), Queens, 11
 Arrived: 02/1/22 0:00:00, 463, Hunters Point Av (7), Queens, 2
 Arrived: 02/1/22 0:00:00, 463, Hunters Point Av (7), Queens, 5
 Arrived: 02/1/22 0:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 3
 Arrived: 02/1/22 0:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 11
 Arrived: 02/1/22 0:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 1
 Arrived: 02/1/22 0:00:00, 464, Vernon Blvd-Jackson Av (7), Queens, 5
 Arrived: 02/1/22 0:00:00, 47, Newkirk Plaza (B,Q), Brooklyn, 3
 Arrived: 02/1/22 1:00:00, 447, Flushing-Main St (7), Queens, 19
 Arrived: 02/1/22 1:00:00, 447, Flushing-Main St (7), Queens, 1
 Arrived: 02/1/22 1:00:00, 447, Flushing-Main St (7), Queens, 8
 Arrived: 02/1/22 1:00:00, 447, Flushing-Main St (7), Queens, 1
